Name,NumberOfInstances,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfClasses,MajorityClassPercentage
dna (1),3186.0,0.0,0.0,181.0,3.0,51.91462649089768
segment (3),2310.0,0.0,19.0,1.0,7.0,14.285714285714285
car (3),1728.0,0.0,0.0,7.0,4.0,70.02314814814815
autoUniv-au4-2500 (1),2500.0,0.0,58.0,43.0,3.0,46.92
steel-plates-fault (3),1941.0,0.0,27.0,1.0,7.0,34.67284904688305
Australian (4),690.0,0.0,6.0,9.0,2.0,55.5072463768116
wilt (2),4839.0,0.0,5.0,1.0,2.0,94.60632362058277
mfeat-pixel (3),2000.0,0.0,240.0,1.0,10.0,10.0
MiceProtein (4),1080.0,1396.0,77.0,5.0,8.0,13.888888888888893
jungle_chess_2pcs_raw_endgame_complete (1),44819.0,0.0,6.0,1.0,3.0,51.45585577545239
autoUniv-au1-1000 (1),1000.0,0.0,20.0,1.0,2.0,74.1
autos (1),205.0,59.0,15.0,11.0,6.0,32.682926829268304
haberman (1),306.0,0.0,2.0,2.0,2.0,73.52941176470588
heart-statlog (1),270.0,0.0,13.0,1.0,2.0,55.55555555555557
AP_Colon_Kidney (1),546.0,0.0,10936.0,1.0,2.0,52.38095238095239
OVA_Breast (1),1545.0,0.0,10936.0,1.0,2.0,77.73462783171522
OVA_Ovary (1),1545.0,0.0,10936.0,1.0,2.0,87.18446601941747
OVA_Uterus (1),1545.0,0.0,10936.0,1.0,2.0,91.97411003236246
AP_Breast_Kidney (1),604.0,0.0,10936.0,1.0,2.0,56.95364238410596
AP_Breast_Ovary (1),542.0,0.0,10936.0,1.0,2.0,63.46863468634685
OVA_Kidney (1),1545.0,0.0,10936.0,1.0,2.0,83.1715210355987
OVA_Lung (1),1545.0,0.0,10936.0,1.0,2.0,91.84466019417476
OVA_Omentum (1),1545.0,0.0,10936.0,1.0,2.0,95.01618122977348
AP_Breast_Colon (1),630.0,0.0,10936.0,1.0,2.0,54.6031746031746
OVA_Colon (1),1545.0,0.0,10936.0,1.0,2.0,81.48867313915858
page-blocks (1),5473.0,0.0,10.0,1.0,5.0,89.76795176320118
adult (1),48842.0,6465.0,2.0,13.0,2.0,76.07182343065395
ionosphere (1),351.0,0.0,34.0,1.0,2.0,64.1025641025641
sonar (1),208.0,0.0,60.0,1.0,2.0,53.365384615384606
vote (1),435.0,392.0,0.0,17.0,2.0,61.3793103448276
nursery (1),12960.0,0.0,0.0,9.0,5.0,33.33333333333333
yeast (1),1484.0,0.0,8.0,1.0,10.0,31.19946091644205
hepatitis (1),155.0,167.0,6.0,14.0,2.0,79.35483870967742
Satellite (1),5100.0,0.0,36.0,1.0,2.0,98.52941176470587
collins (4),1000.0,0.0,20.0,4.0,30.0,8.0
tae (1),151.0,0.0,3.0,3.0,3.0,34.437086092715234
breast-cancer (1),286.0,9.0,0.0,10.0,2.0,70.27972027972028
trains (1),10.0,51.0,0.0,33.0,2.0,50.0
lymph (1),148.0,0.0,3.0,16.0,4.0,54.729729729729726
colic (2),368.0,1927.0,7.0,16.0,2.0,63.04347826086957
rabe_266 (2),120.0,0.0,2.0,1.0,2.0,52.5
ecoli (1),336.0,0.0,7.0,1.0,8.0,42.55952380952381
heart-h (1),294.0,782.0,6.0,8.0,2.0,63.94557823129252
kropt (1),28056.0,0.0,0.0,7.0,18.0,16.228257770173936
glass (1),214.0,0.0,9.0,1.0,6.0,35.51401869158878
heart-c (1),303.0,7.0,6.0,8.0,2.0,54.45544554455447
postoperative-patient-data (1),90.0,3.0,0.0,9.0,3.0,71.1111111111111
dermatology (1),366.0,8.0,1.0,34.0,6.0,30.601092896174865
Speech (1),3686.0,0.0,400.0,1.0,2.0,98.34508952794356
shuttle-landing-control (1),15.0,26.0,0.0,7.0,2.0,60.0
BNG(tic-tac-toe) (1),39366.0,0.0,0.0,10.0,2.0,65.28984402784128
SPECT (1),267.0,0.0,0.0,23.0,2.0,79.40074906367043
transplant (2),131.0,0.0,3.0,1.0,2.0,63.35877862595419
primary-tumor (1),339.0,225.0,0.0,18.0,21.0,24.778761061946906
visualizing_livestock (2),130.0,0.0,0.0,3.0,2.0,80.76923076923076
spectrometer (1),531.0,0.0,100.0,3.0,48.0,10.357815442561208
lung-cancer (1),32.0,5.0,0.0,57.0,3.0,40.625
analcatdata_chlamydia (2),100.0,0.0,0.0,4.0,2.0,81.0
visualizing_environmental (2),111.0,0.0,3.0,1.0,2.0,52.252252252252255
braziltourism (1),412.0,96.0,4.0,5.0,7.0,77.18446601941747
wine (1),178.0,0.0,13.0,1.0,3.0,39.8876404494382
fri_c3_100_5 (2),100.0,0.0,5.0,1.0,2.0,56.00000000000001
chscase_geyser1 (2),222.0,0.0,2.0,1.0,2.0,60.36036036036037
analcatdata_challenger (2),138.0,0.0,1.0,2.0,2.0,93.47826086956522
hayes-roth (2),132.0,0.0,4.0,1.0,2.0,61.36363636363637
fri_c0_100_5 (2),100.0,0.0,5.0,1.0,2.0,54.0
iris (3),150.0,0.0,4.0,1.0,2.0,66.66666666666666
fri_c1_100_5 (2),100.0,0.0,5.0,1.0,2.0,55.00000000000001
analcatdata_boxing1 (1),120.0,0.0,0.0,4.0,2.0,65.0
fri_c2_100_5 (2),100.0,0.0,5.0,1.0,2.0,60.0
prnn_synth (1),250.0,0.0,2.0,1.0,2.0,50.0
SPECTF (1),349.0,0.0,44.0,1.0,2.0,72.77936962750717
analcatdata_seropositive (2),132.0,0.0,2.0,2.0,2.0,65.15151515151516
aids (1),50.0,0.0,2.0,3.0,2.0,50.0
cloud (2),108.0,0.0,6.0,2.0,2.0,70.37037037037038
newton_hema (2),140.0,0.0,2.0,2.0,2.0,50.0
rmftsa_ctoarrivals (2),264.0,0.0,1.0,2.0,2.0,61.74242424242424
servo (1),167.0,0.0,0.0,5.0,2.0,77.24550898203594
fruitfly (2),125.0,0.0,2.0,3.0,2.0,60.8
"BNG(cmc,nominal,55296) (1)",55296.0,0.0,0.0,10.0,3.0,42.77886284722222
sleuth_case2002 (2),147.0,0.0,2.0,5.0,2.0,53.06122448979593
analcatdata_creditscore (1),100.0,0.0,3.0,4.0,2.0,73.0
tae (2),151.0,0.0,3.0,3.0,2.0,65.56291390728478
analcatdata_boxing2 (1),132.0,0.0,0.0,4.0,2.0,53.78787878787878
fri_c3_100_10 (2),100.0,0.0,10.0,1.0,2.0,60.0
analcatdata_wildcat (2),163.0,0.0,3.0,3.0,2.0,71.16564417177914
grub-damage (1),155.0,0.0,2.0,7.0,4.0,31.612903225806452
fri_c1_100_10 (2),100.0,0.0,10.0,1.0,2.0,53.0
meta_instanceincremental.arff (1),74.0,0.0,62.0,1.0,4.0,72.97297297297297
fri_c4_100_10 (2),100.0,0.0,10.0,1.0,2.0,53.0
fri_c2_100_10 (2),100.0,0.0,10.0,1.0,2.0,55.00000000000001
fri_c0_100_10 (2),100.0,0.0,10.0,1.0,2.0,55.00000000000001
veteran (2),137.0,0.0,3.0,5.0,2.0,68.61313868613139
vinnie (2),380.0,0.0,2.0,1.0,2.0,51.31578947368421
BNG(cmc) (1),55296.0,0.0,2.0,8.0,3.0,42.6197193287037
meta_ensembles.arff (1),74.0,0.0,62.0,1.0,4.0,60.81081081081082
meta_batchincremental.arff (1),74.0,0.0,62.0,1.0,4.0,67.56756756756756
datatrieve (1),130.0,0.0,8.0,1.0,2.0,91.53846153846152
chscase_vine2 (2),468.0,0.0,2.0,1.0,2.0,54.70085470085471
visualizing_livestock (1),130.0,0.0,1.0,2.0,5.0,20.0
analcatdata_lawsuit (1),264.0,0.0,3.0,2.0,2.0,92.8030303030303
hypothyroid (1),3772.0,6064.0,7.0,23.0,4.0,92.28525980911984
pasture (1),36.0,0.0,21.0,2.0,3.0,33.33333333333333
squash-unstored (1),52.0,39.0,20.0,4.0,3.0,46.153846153846146
pc2 (1),5589.0,0.0,36.0,1.0,2.0,99.58847736625515
meta_all.arff (1),71.0,0.0,62.0,1.0,6.0,59.15492957746479
squash-stored (1),52.0,7.0,21.0,4.0,3.0,44.230769230769226
delta_ailerons (1),7129.0,0.0,5.0,1.0,2.0,53.06494599523075
BNG(breast-w) (1),39366.0,0.0,9.0,1.0,2.0,65.58959508205051
white-clover (1),63.0,0.0,27.0,5.0,4.0,60.317460317460316
JapaneseVowels (2),9961.0,0.0,14.0,1.0,2.0,83.79680754944283
machine_cpu (2),209.0,0.0,6.0,1.0,2.0,73.20574162679426
fri_c1_250_5 (2),250.0,0.0,5.0,1.0,2.0,52.40000000000001
fri_c0_250_5 (2),250.0,0.0,5.0,1.0,2.0,50.0
fri_c2_250_5 (2),250.0,0.0,5.0,1.0,2.0,56.00000000000001
visualizing_galaxy (2),323.0,0.0,4.0,1.0,2.0,54.1795665634675
grub-damage (2),155.0,0.0,2.0,7.0,2.0,68.38709677419354
fri_c3_250_5 (2),250.0,0.0,5.0,1.0,2.0,56.39999999999999
no2 (2),500.0,0.0,7.0,1.0,2.0,50.2
mu284 (2),284.0,0.0,10.0,1.0,2.0,50.0
fri_c4_250_50 (2),250.0,0.0,50.0,1.0,2.0,54.0
chscase_census6 (2),400.0,0.0,6.0,1.0,2.0,58.75
fri_c2_500_25 (2),500.0,0.0,25.0,1.0,2.0,60.8
mc1 (1),9466.0,0.0,38.0,1.0,2.0,99.28163955208113
ecoli (2),336.0,0.0,7.0,1.0,2.0,57.44047619047619
fri_c0_500_10 (2),500.0,0.0,10.0,1.0,2.0,51.8
fri_c3_500_25 (2),500.0,0.0,25.0,1.0,2.0,56.00000000000001
disclosure_z (2),662.0,0.0,3.0,1.0,2.0,52.567975830815705
fri_c2_250_25 (2),250.0,0.0,25.0,1.0,2.0,55.60000000000001
arsenic-female-bladder (2),559.0,0.0,3.0,2.0,2.0,85.68872987477639
fri_c4_100_50 (2),100.0,0.0,50.0,1.0,2.0,56.00000000000001
chatfield_4 (2),235.0,0.0,12.0,1.0,2.0,60.42553191489362
vehicle (2),846.0,0.0,18.0,1.0,2.0,74.23167848699764
fri_c0_100_25 (2),100.0,0.0,25.0,1.0,2.0,50.0
fri_c3_500_50 (2),500.0,0.0,50.0,1.0,2.0,56.39999999999999
fri_c4_250_25 (2),250.0,0.0,25.0,1.0,2.0,54.40000000000001
triazines (2),186.0,0.0,60.0,1.0,2.0,58.60215053763442
fri_c2_500_5 (2),500.0,0.0,5.0,1.0,2.0,59.6
disclosure_x_tampered (2),662.0,0.0,3.0,1.0,2.0,50.60422960725075
pollen (2),3848.0,0.0,5.0,1.0,2.0,50.0
fri_c0_500_50 (2),500.0,0.0,50.0,1.0,2.0,51.2
analcatdata_authorship (2),841.0,0.0,70.0,1.0,2.0,62.306777645659935
cpu (2),209.0,0.0,6.0,2.0,2.0,74.64114832535886
fri_c3_500_10 (2),500.0,0.0,10.0,1.0,2.0,54.40000000000001
kin8nm (2),8192.0,0.0,8.0,1.0,2.0,50.87890625
baseball (1),1340.0,20.0,15.0,3.0,3.0,90.67164179104479
ar4 (1),107.0,0.0,29.0,1.0,2.0,81.30841121495327
mfeat-karhunen (2),2000.0,0.0,64.0,1.0,2.0,90.0
disclosure_x_bias (2),662.0,0.0,3.0,1.0,2.0,52.11480362537765
fri_c4_100_25 (2),100.0,0.0,25.0,1.0,2.0,54.0
mfeat-zernike (2),2000.0,0.0,47.0,1.0,2.0,90.0
prnn_fglass (2),214.0,0.0,9.0,1.0,2.0,64.48598130841121
fri_c1_500_25 (2),500.0,0.0,25.0,1.0,2.0,53.40000000000001
fri_c1_250_10 (2),250.0,0.0,10.0,1.0,2.0,56.00000000000001
fri_c3_250_10 (2),250.0,0.0,10.0,1.0,2.0,54.0
chscase_census2 (2),400.0,0.0,7.0,1.0,2.0,50.74999999999999
autoPrice (2),159.0,0.0,15.0,1.0,2.0,66.0377358490566
fri_c2_100_25 (2),100.0,0.0,25.0,1.0,2.0,56.99999999999999
ar6 (1),101.0,0.0,29.0,1.0,2.0,85.14851485148516
fri_c1_100_50 (2),100.0,0.0,50.0,1.0,2.0,56.00000000000001
chscase_census5 (2),400.0,0.0,7.0,1.0,2.0,51.74999999999999
visualizing_hamster (2),73.0,0.0,5.0,1.0,2.0,54.794520547945204
fri_c2_250_50 (2),250.0,0.0,50.0,1.0,2.0,54.8
fri_c0_500_5 (2),500.0,0.0,5.0,1.0,2.0,50.2
fri_c2_500_10 (2),500.0,0.0,10.0,1.0,2.0,57.2
fri_c4_500_50 (2),500.0,0.0,50.0,1.0,2.0,52.8
fri_c2_250_10 (2),250.0,0.0,10.0,1.0,2.0,63.6
fri_c1_500_50 (2),500.0,0.0,50.0,1.0,2.0,52.40000000000001
page-blocks (2),5473.0,0.0,10.0,1.0,2.0,89.76795176320118
strikes (2),625.0,0.0,6.0,1.0,2.0,50.4
hutsof99_logis (2),70.0,0.0,3.0,5.0,2.0,51.42857142857142
wine (2),178.0,0.0,13.0,1.0,2.0,60.1123595505618
chscase_census3 (2),400.0,0.0,7.0,1.0,2.0,52.0
fri_c1_500_5 (2),500.0,0.0,5.0,1.0,2.0,53.40000000000001
arsenic-male-lung (2),559.0,0.0,3.0,2.0,2.0,97.67441860465117
ada_prior (1),4562.0,88.0,6.0,9.0,2.0,75.18632178868917
rabe_148 (2),66.0,0.0,5.0,1.0,2.0,50.0
waveform-5000 (2),5000.0,0.0,40.0,1.0,2.0,66.16
fri_c3_500_5 (2),500.0,0.0,5.0,1.0,2.0,52.6
kc3 (1),458.0,0.0,39.0,1.0,2.0,90.61135371179041
balance-scale (2),625.0,0.0,4.0,1.0,2.0,53.92
fri_c1_100_25 (2),100.0,0.0,25.0,1.0,2.0,53.0
quake (3),2178.0,0.0,3.0,1.0,2.0,55.50964187327825
fri_c0_500_25 (2),500.0,0.0,25.0,1.0,2.0,51.0
fri_c3_250_50 (2),250.0,0.0,50.0,1.0,2.0,56.8
delta_elevators (3),9517.0,0.0,6.0,1.0,2.0,50.27844909110014
arsenic-male-bladder (2),559.0,0.0,3.0,2.0,2.0,95.70661896243291
analcatdata_dmft (2),797.0,0.0,0.0,5.0,2.0,80.55207026348809
fri_c0_250_10 (2),250.0,0.0,10.0,1.0,2.0,50.0
visualizing_soil (2),8641.0,0.0,3.0,2.0,2.0,55.005207730586726
fri_c2_100_50 (2),100.0,0.0,50.0,1.0,2.0,57.99999999999999
diabetes_numeric (2),43.0,0.0,2.0,1.0,2.0,60.465116279069754
stock (2),950.0,0.0,9.0,1.0,2.0,51.368421052631575
fri_c1_500_10 (2),500.0,0.0,10.0,1.0,2.0,54.8
fri_c4_250_10 (2),250.0,0.0,10.0,1.0,2.0,53.2
mfeat-morphological (2),2000.0,0.0,6.0,1.0,2.0,90.0
fri_c2_500_50 (2),500.0,0.0,50.0,1.0,2.0,59.0
wisconsin (2),194.0,0.0,32.0,1.0,2.0,53.60824742268043
segment (2),2310.0,0.0,19.0,1.0,2.0,85.71428571428571
mc2 (1),161.0,0.0,39.0,1.0,2.0,67.70186335403726
glass (2),214.0,0.0,9.0,1.0,2.0,64.48598130841121
fri_c4_500_25 (2),500.0,0.0,25.0,1.0,2.0,56.8
analcatdata_vineyard (2),468.0,0.0,2.0,2.0,2.0,55.55555555555557
fri_c3_100_25 (2),100.0,0.0,25.0,1.0,2.0,55.00000000000001
bodyfat (2),252.0,0.0,14.0,1.0,2.0,50.79365079365079
arsenic-female-lung (2),559.0,0.0,3.0,2.0,2.0,96.6010733452594
analcatdata_apnea3 (2),450.0,0.0,1.0,3.0,2.0,87.77777777777777
lowbwt (2),189.0,0.0,2.0,8.0,2.0,52.38095238095239
fri_c3_100_50 (2),100.0,0.0,50.0,1.0,2.0,62.0
mfeat-factors (2),2000.0,0.0,216.0,1.0,2.0,90.0
kidney (2),76.0,0.0,3.0,4.0,2.0,52.631578947368425
car (2),1728.0,0.0,0.0,7.0,2.0,70.02314814814815
optdigits (2),5620.0,0.0,64.0,1.0,2.0,89.82206405693951
kc1-binary (1),145.0,0.0,94.0,1.0,2.0,58.620689655172406
mw1 (1),403.0,0.0,37.0,1.0,2.0,92.30769230769228
elusage (2),55.0,0.0,1.0,2.0,2.0,56.36363636363636
fri_c0_100_50 (2),100.0,0.0,50.0,1.0,2.0,51.0
chscase_census4 (2),400.0,0.0,7.0,1.0,2.0,51.5
fri_c1_250_25 (2),250.0,0.0,25.0,1.0,2.0,57.2
fri_c4_250_100 (2),250.0,0.0,100.0,1.0,2.0,56.00000000000001
plasma_retinol (2),315.0,0.0,10.0,4.0,2.0,57.77777777777778
puma32H (2),8192.0,0.0,32.0,1.0,2.0,50.390625
puma8NH (2),8192.0,0.0,8.0,1.0,2.0,50.2197265625
socmob (2),1156.0,0.0,1.0,5.0,2.0,77.85467128027682
wind (2),6574.0,0.0,14.0,1.0,2.0,53.255247946455725
bank8FM (2),8192.0,0.0,8.0,1.0,2.0,59.63134765625
cpu_act (3),8192.0,0.0,21.0,1.0,2.0,69.76318359375
visualizing_ethanol (2),88.0,0.0,2.0,1.0,2.0,51.13636363636363
biomed (1),209.0,15.0,7.0,2.0,2.0,64.11483253588517
fri_c3_250_25 (2),250.0,0.0,25.0,1.0,2.0,55.60000000000001
pm10 (2),500.0,0.0,7.0,1.0,2.0,50.8
mfeat-fourier (2),2000.0,0.0,76.0,1.0,2.0,90.0
rabe_131 (2),50.0,0.0,5.0,1.0,2.0,57.99999999999999
analcatdata_germangss (2),400.0,0.0,0.0,6.0,2.0,77.5
diggle_table_a2 (2),310.0,0.0,7.0,2.0,2.0,53.225806451612904
ar1 (1),121.0,0.0,29.0,1.0,2.0,92.56198347107436
fri_c1_250_50 (2),250.0,0.0,50.0,1.0,2.0,54.8
hip (2),54.0,120.0,7.0,1.0,2.0,51.85185185185186
pollution (2),60.0,0.0,15.0,1.0,2.0,51.66666666666667
ipums_la_99-small (2),8844.0,34843.0,15.0,42.0,2.0,93.57756671189506
rmftsa_ladata (2),508.0,0.0,10.0,1.0,2.0,56.29921259842521
cpu_small (3),8192.0,0.0,12.0,1.0,2.0,69.76318359375
schlvote (2),38.0,0.0,4.0,2.0,2.0,73.68421052631578
bolts (2),40.0,0.0,7.0,1.0,2.0,65.0
primary-tumor (2),339.0,225.0,0.0,18.0,2.0,75.22123893805309
analcatdata_apnea2 (2),475.0,0.0,1.0,3.0,2.0,86.52631578947368
diggle_table_a1 (2),48.0,0.0,4.0,1.0,2.0,52.08333333333334
schizo (1),340.0,834.0,12.0,3.0,2.0,52.05882352941178
fri_c4_500_10 (2),500.0,0.0,10.0,1.0,2.0,55.2
fri_c0_250_50 (2),250.0,0.0,50.0,1.0,2.0,53.2
jEdit_4.0_4.2 (1),274.0,0.0,8.0,1.0,2.0,51.09489051094891
lymph (2),148.0,0.0,3.0,16.0,2.0,54.729729729729726
abalone (2),4177.0,0.0,7.0,2.0,2.0,50.17955470433325
pwLinear (2),200.0,0.0,10.0,1.0,2.0,51.5
kc1-top5 (1),145.0,0.0,94.0,1.0,2.0,94.48275862068964
jEdit_4.2_4.3 (1),369.0,0.0,8.0,1.0,2.0,55.28455284552846
fri_c0_250_25 (2),250.0,0.0,25.0,1.0,2.0,50.4
rmftsa_sleepdata (2),1024.0,0.0,1.0,2.0,2.0,50.29296875
tecator (2),240.0,0.0,124.0,1.0,2.0,57.49999999999999
space_ga (2),3107.0,0.0,6.0,1.0,2.0,50.40231734792404
bank32nh (2),8192.0,0.0,32.0,1.0,2.0,68.95751953125
echoMonths (2),130.0,97.0,6.0,4.0,2.0,50.769230769230774
kdd_ipums_la_97-small (1),7019.0,43814.0,33.0,28.0,2.0,63.043168542527425
confidence (2),72.0,0.0,3.0,1.0,2.0,83.33333333333334
prnn_crabs (1),200.0,0.0,6.0,2.0,2.0,50.0
